Date,VoLTE Traffic (Erl),VoLTE RAB Att QCI5,VoLTE RAB Succ QCI5,VoLTE HO Ongoing QCI5,VoLTE CSSR QCI5,VoLTE RAB Att QCI1,VoLTE RAB Succ QCI1,VoLTE HO Ongoing QCI1,VoLTE CSSR QCI1,VoLTE Call Att QCI5,VoLTE Call Drop QCI5,VoLTE CDR QCI5,VoLTE Call Att QCI1,VoLTE Call Drop QCI1,VoLTE CDR QCI1,pmHoPrepAttSrvcc,pmHoPrepSuccSrvcc,pmHoExeAttSrvcc,pmHoExeSuccSrvcc,SRVCC HOSR UTRAN,SRVCC HO Att UTRAN,pmErabRelAbnormalEnbActHprQci
2025-07-23,17.1930555555556,257215,256536,225,99.8233394295498,1153,1150,3.0,100.0,230908,1282,0.555199473383339,1118,7,0.626118067978533,794,63,63,29,3.65239294710327,794,12
2025-07-24,8.07,277438,276821,257,99.8701209678874,844,843,1.0,100.0,250014,1373,0.549169246522195,808,4,0.495049504950495,233,48,48,34,14.5922746781116,233,11
2025-07-25,7.26444444444444,275348,274707,296,99.8745691723747,759,759,,100.0,247026,1268,0.513306291645414,732,3,0.409836065573771,249,56,56,26,10.4417670682731,249,20
2025-07-26,4.77388888888889,255135,254573,307,99.8999325034926,653,653,,100.0,231441,1075,0.464481228477236,622,2,0.321543408360129,87,66,66,32,36.7816091954023,87,7
2025-07-27,7.12416666666667,260748,260179,316,99.902853719973,515,515,,100.0,236152,1178,0.498831261221586,494,1,0.202429149797571,376,41,41,19,5.0531914893617,376,8
2025-07-28,10.7741666666667,280182,279430,303,99.8395735299897,887,885,1.0,99.8871331828442,253814,1628,0.64141457918003,840,4,0.476190476190476,2214,72,72,43,1.94218608852755,2214,10
2025-07-29,9.03166666666667,281756,280876,381,99.822656597068,1005,994,10.0,99.8994974874372,251830,2073,0.823174363658023,959,19,1.98123044838373,475,62,62,35,7.36842105263158,475,16
2025-07-30,9.08305555555556,278982,278316,261,99.8546934030805,974,972,2.0,100.0,252177,1801,0.714180912612966,936,3,0.320512820512821,459,60,60,35,7.62527233115468,459,12
2025-07-31,10.1152777777778,275094,274432,291,99.8649941958421,1057,1054,,99.7161778618732,249312,1553,0.62291426004364,1021,6,0.587659157688541,520,56,56,32,6.15384615384615,520,12
2025-08-01,8.75555555555556,272599,272000,286,99.8850587375557,987,985,,99.7973657548126,241136,1368,0.567314710370911,964,3,0.311203319502075,173,34,34,21,12.1387283236994,173,12
2025-08-02,5.97722222222222,263941,263091,289,99.7872195166356,751,749,1.0,99.8666666666667,240269,2254,0.938115195884613,727,8,1.10041265474553,118,42,42,21,17.7966101694915,118,7
2025-08-03,5.78805555555556,238418,237711,262,99.8131476847109,588,587,1.0,100.0,214568,1860,0.866858058983632,561,9,1.60427807486631,80,52,52,26,32.5,80,5
2025-08-04,7.80805555555556,274661,273916,277,99.8294361187241,965,963,,99.7927461139896,248806,1944,0.781331639912221,927,3,0.323624595469256,141,62,62,36,25.531914893617,141,12
2025-08-05,7.56944444444445,284596,283312,274,99.6447689591379,1088,1077,9.0,99.8146431881372,256703,1921,0.74833562521669,1027,8,0.778967867575463,180,86,86,50,27.7777777777778,180,5
2025-08-06,7.69361111111111,279756,278613,316,99.704050959061,918,911,2.0,99.4541484716157,246720,1801,0.729977302204929,857,12,1.4002333722287,166,78,78,55,33.1325301204819,166,14
2025-08-07,6.78666666666667,282325,281235,393,99.7527772654399,754,751,1.0,99.734395750332,252261,2354,0.933160496469926,719,10,1.39082058414465,117,63,63,35,29.9145299145299,117,6
2025-08-08,10.4458333333333,284733,283589,339,99.7169419889309,1068,1065,,99.7191011235955,253575,2305,0.909001281672089,1033,22,2.1297192642788,314,48,48,28,8.9171974522293,314,6
2025-08-09,6.02555555555556,263490,262720,292,99.8183876777179,892,891,,99.8878923766816,237300,1705,0.718499789296249,866,9,1.03926096997691,99,51,51,24,24.2424242424242,99,7
2025-08-10,4.73805555555556,275769,275209,268,99.8940112740063,703,693,8.0,99.7122302158273,250553,1293,0.516058478645237,670,17,2.53731343283582,190,50,50,28,14.7368421052632,190,9
2025-08-11,9.13638888888889,294615,294028,229,99.8783909560917,1039,1021,12.0,99.4157740993184,266426,1385,0.519844159353817,977,9,0.921187308085977,285,67,67,42,14.7368421052632,285,12
2025-08-12,8.91527777777778,319004,318315,319,99.8838978929036,1019,1017,1.0,99.901768172888,285333,1518,0.532009967301364,981,10,1.01936799184506,219,63,63,34,15.5251141552511,219,8
